Prompt,Entities
"Allow access for IP ""188.245.157.70"" from ""46.194.57.17"" source and ""WAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""188.245.157.70"", ""46.194.57.17""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""180.184.134.180"" from ""236.104.220.12"" source and ""LAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""180.184.134.180"", ""236.104.220.12""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""151.65.67.54"" from ""127.1.175.134"" source and ""WAN"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""151.65.67.54"", ""127.1.175.134""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""120.230.178.70"" from ""112.110.19.56"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""120.230.178.70"", ""112.110.19.56""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""205.161.160.18"" from ""147.229.66.148"" source and ""LAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""205.161.160.18"", ""147.229.66.148""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""193.105.253.199"" from ""8.126.79.216"" source and ""LAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""193.105.253.199"", ""8.126.79.216""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""104.131.79.32"" from ""200.113.151.248"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""104.131.79.32"", ""200.113.151.248""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""213.116.247.253"" from ""62.177.8.212"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""213.116.247.253"", ""62.177.8.212""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""117.28.26.118"" from ""72.102.158.200"" source and ""LAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""117.28.26.118"", ""72.102.158.200""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""51.32.51.147"" from ""72.144.192.200"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""51.32.51.147"", ""72.144.192.200""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""9.245.110.8"" from ""58.37.240.246"" source and ""WAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""9.245.110.8"", ""58.37.240.246""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""43.143.87.172"" from ""78.91.56.57"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""43.143.87.172"", ""78.91.56.57""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""63.33.203.183"" from ""87.8.175.144"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""63.33.203.183"", ""87.8.175.144""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""120.205.159.82"" from ""134.200.206.45"" source and ""LAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""120.205.159.82"", ""134.200.206.45""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""177.131.82.254"" from ""109.60.67.197"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""177.131.82.254"", ""109.60.67.197""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""61.188.24.127"" from ""172.136.42.218"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""61.188.24.127"", ""172.136.42.218""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""203.206.241.88"" from ""226.250.163.167"" source and ""WAN"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""203.206.241.88"", ""226.250.163.167""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""192.50.169.47"" from ""42.71.141.244"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""192.50.169.47"", ""42.71.141.244""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""118.142.226.87"" from ""128.40.234.199"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""118.142.226.87"", ""128.40.234.199""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""24.250.233.122"" from ""15.180.246.75"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""24.250.233.122"", ""15.180.246.75""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""51.37.159.130"" from ""180.138.71.191"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""51.37.159.130"", ""180.138.71.191""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""111.243.220.101"" from ""207.248.206.168"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""111.243.220.101"", ""207.248.206.168""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""26.179.213.174"" from ""52.47.176.245"" source and ""LAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""26.179.213.174"", ""52.47.176.245""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""209.225.92.108"" from ""29.203.212.146"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""209.225.92.108"", ""29.203.212.146""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""211.152.112.250"" from ""114.210.140.156"" source and ""DMZ"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""211.152.112.250"", ""114.210.140.156""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""232.168.13.79"" from ""186.237.111.71"" source and ""DMZ"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""232.168.13.79"", ""186.237.111.71""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""58.56.254.78"" from ""59.58.137.22"" source and ""LAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""58.56.254.78"", ""59.58.137.22""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""35.249.32.175"" from ""106.151.161.36"" source and ""LAN"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""35.249.32.175"", ""106.151.161.36""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""33.227.228.48"" from ""193.8.143.236"" source and ""WAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""33.227.228.48"", ""193.8.143.236""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""69.156.151.238"" from ""20.188.217.149"" source and ""LAN"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""69.156.151.238"", ""20.188.217.149""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""151.197.183.172"" from ""237.56.63.191"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""151.197.183.172"", ""237.56.63.191""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""39.0.74.196"" from ""77.102.241.155"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""39.0.74.196"", ""77.102.241.155""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""81.48.48.11"" from ""228.34.207.219"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""81.48.48.11"", ""228.34.207.219""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""37.46.13.205"" from ""80.7.160.218"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""37.46.13.205"", ""80.7.160.218""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""85.39.94.6"" from ""16.3.232.8"" source and ""WAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""85.39.94.6"", ""16.3.232.8""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""156.88.224.25"" from ""10.238.48.3"" source and ""WAN"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""156.88.224.25"", ""10.238.48.3""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""76.221.167.230"" from ""190.164.96.56"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""76.221.167.230"", ""190.164.96.56""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""105.201.149.121"" from ""149.96.225.142"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""105.201.149.121"", ""149.96.225.142""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""98.255.213.209"" from ""194.188.118.199"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""98.255.213.209"", ""194.188.118.199""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""247.47.141.73"" from ""161.3.2.251"" source and ""WAN"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""247.47.141.73"", ""161.3.2.251""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""70.112.178.207"" from ""150.19.41.10"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""70.112.178.207"", ""150.19.41.10""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""75.110.228.243"" from ""157.72.58.50"" source and ""WAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""75.110.228.243"", ""157.72.58.50""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""176.67.247.216"" from ""62.223.237.85"" source and ""LAN"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""176.67.247.216"", ""62.223.237.85""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""87.98.36.117"" from ""196.208.217.135"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""87.98.36.117"", ""196.208.217.135""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""135.82.236.148"" from ""122.137.116.47"" source and ""LAN"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""135.82.236.148"", ""122.137.116.47""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""41.200.30.190"" from ""151.123.172.42"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""41.200.30.190"", ""151.123.172.42""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""163.174.153.234"" from ""79.172.100.112"" source and ""WAN"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""163.174.153.234"", ""79.172.100.112""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""239.19.81.86"" from ""226.54.8.192"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""239.19.81.86"", ""226.54.8.192""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""22.211.180.186"" from ""44.165.207.244"" source and ""WAN"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""22.211.180.186"", ""44.165.207.244""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""24.103.103.88"" from ""71.249.76.59"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""24.103.103.88"", ""71.249.76.59""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""39.70.31.138"" from ""142.241.241.131"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""39.70.31.138"", ""142.241.241.131""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""20.194.129.135"" from ""233.45.82.17"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""20.194.129.135"", ""233.45.82.17""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""43.165.240.234"" from ""198.155.95.253"" source and ""LAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""43.165.240.234"", ""198.155.95.253""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""177.147.62.126"" from ""200.15.166.49"" source and ""DMZ"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""177.147.62.126"", ""200.15.166.49""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""214.186.104.132"" from ""159.155.85.207"" source and ""DMZ"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""214.186.104.132"", ""159.155.85.207""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""169.72.237.56"" from ""110.35.21.17"" source and ""LAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""169.72.237.56"", ""110.35.21.17""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""9.23.199.89"" from ""116.77.63.149"" source and ""DMZ"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""9.23.199.89"", ""116.77.63.149""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""20.184.204.18"" from ""25.118.92.69"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""20.184.204.18"", ""25.118.92.69""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""98.3.170.186"" from ""152.252.200.16"" source and ""WAN"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""98.3.170.186"", ""152.252.200.16""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""186.227.185.237"" from ""227.181.23.52"" source and ""DMZ"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""186.227.185.237"", ""227.181.23.52""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""146.106.17.207"" from ""183.150.141.112"" source and ""LAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""146.106.17.207"", ""183.150.141.112""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""128.8.116.131"" from ""215.110.130.219"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""128.8.116.131"", ""215.110.130.219""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""147.150.99.100"" from ""236.101.102.49"" source and ""WAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""147.150.99.100"", ""236.101.102.49""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""14.241.100.195"" from ""243.194.112.247"" source and ""LAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""14.241.100.195"", ""243.194.112.247""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""118.77.19.75"" from ""165.54.195.149"" source and ""WAN"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""118.77.19.75"", ""165.54.195.149""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""180.163.66.7"" from ""28.30.41.48"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""180.163.66.7"", ""28.30.41.48""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""47.188.202.178"" from ""199.242.196.5"" source and ""LAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""47.188.202.178"", ""199.242.196.5""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""8.22.140.103"" from ""119.106.222.9"" source and ""WAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""8.22.140.103"", ""119.106.222.9""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""120.64.55.181"" from ""191.22.30.197"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""120.64.55.181"", ""191.22.30.197""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""206.207.211.174"" from ""31.231.38.78"" source and ""DMZ"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""206.207.211.174"", ""31.231.38.78""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""217.174.63.184"" from ""21.68.47.156"" source and ""DMZ"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""217.174.63.184"", ""21.68.47.156""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""214.49.25.204"" from ""72.61.119.123"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""214.49.25.204"", ""72.61.119.123""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""159.151.51.58"" from ""253.14.228.55"" source and ""WAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""159.151.51.58"", ""253.14.228.55""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""28.208.198.204"" from ""11.122.205.25"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""28.208.198.204"", ""11.122.205.25""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""176.54.211.110"" from ""219.235.114.227"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Any""","{""IP"": [""176.54.211.110"", ""219.235.114.227""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Any""}"
"Allow access for IP ""40.105.5.58"" from ""247.56.68.91"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""40.105.5.58"", ""247.56.68.91""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""130.185.197.187"" from ""79.220.31.196"" source and ""LAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""130.185.197.187"", ""79.220.31.196""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""33.75.61.240"" from ""178.163.52.154"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""33.75.61.240"", ""178.163.52.154""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""28.163.248.51"" from ""138.48.50.248"" source and ""WAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""28.163.248.51"", ""138.48.50.248""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""209.94.217.19"" from ""194.112.176.218"" source and ""LAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""209.94.217.19"", ""194.112.176.218""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""20.190.177.74"" from ""19.130.155.48"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""20.190.177.74"", ""19.130.155.48""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""165.50.148.100"" from ""62.46.187.127"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""165.50.148.100"", ""62.46.187.127""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""165.83.29.154"" from ""86.169.62.202"" source and ""WAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""165.83.29.154"", ""86.169.62.202""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""40.125.58.171"" from ""43.199.149.4"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""40.125.58.171"", ""43.199.149.4""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""199.229.242.154"" from ""65.133.67.222"" source and ""LAN"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""199.229.242.154"", ""65.133.67.222""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""53.32.205.209"" from ""91.71.147.60"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""53.32.205.209"", ""91.71.147.60""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""76.27.222.63"" from ""207.107.159.53"" source and ""WAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""76.27.222.63"", ""207.107.159.53""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""15.52.168.217"" from ""142.148.211.97"" source and ""WAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""15.52.168.217"", ""142.148.211.97""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""255.147.154.158"" from ""51.1.16.88"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""255.147.154.158"", ""51.1.16.88""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""249.71.247.102"" from ""225.154.2.218"" source and ""WAN"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""249.71.247.102"", ""225.154.2.218""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""196.142.85.147"" from ""166.244.29.238"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""196.142.85.147"", ""166.244.29.238""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""62.163.150.58"" from ""170.160.182.60"" source and ""WAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""62.163.150.58"", ""170.160.182.60""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""72.175.53.2"" from ""142.17.69.28"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""72.175.53.2"", ""142.17.69.28""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""54.84.186.230"" from ""214.236.83.63"" source and ""LAN"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""54.84.186.230"", ""214.236.83.63""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""229.225.215.178"" from ""92.151.202.29"" source and ""WAN"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""229.225.215.178"", ""92.151.202.29""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""19.121.148.117"" from ""131.98.221.226"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""19.121.148.117"", ""131.98.221.226""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""87.227.246.93"" from ""186.68.239.114"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""87.227.246.93"", ""186.68.239.114""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""127.27.220.89"" from ""100.104.114.236"" source and ""WAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""127.27.220.89"", ""100.104.114.236""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""90.142.99.154"" from ""126.200.37.199"" source and ""LAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""90.142.99.154"", ""126.200.37.199""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
